/BIC/S2REPPER,/BIC/S2COMPANY,/BIC/S2QRT2,/BIC/S2COLUMN,/BIC/S2ROW,FISCVARNT,RECORDMODE,/BIC/S2FIGURE,Column1
1,2015016,DUMMY5,S.02.01.02      ,C0010           ,ER0801          ,K4, ,0
2,2015016,DUMMY5,S.02.01.02      ,C0010           ,ER0802          ,K4, ,0
3,2015016,DUMMY5,S.02.01.02      ,C0010           ,ER0803          ,K4, ,0
4,2015016,DUMMY5,S.02.01.02      ,C0010           ,ER0811          ,K4, ,0
5,2015016,DUMMY5,S.02.01.02      ,C0010           ,ER0812          ,K4, ,0
6,2015016,DUMMY5,S.02.01.02      ,C0010           ,ER0813          ,K4, ,0
7,2015016,DUMMY5,S.02.01.02      ,C0010           ,ER0814          ,K4, ,0
8,2015016,DUMMY5,S.02.01.02      ,C0010           ,ER0815          ,K4, ,4297742.4
9,2015016,DUMMY5,S.02.01.02      ,C0010           ,GAR0010         ,K4, ,0
10,2015016,DUMMY5,S.02.01.02      ,C0010           ,GAR0020         ,K4, ,0
11,2015016,DUMMY5,S.02.01.02      ,C0010           ,GAR0030         ,K4, ,0
12,2015016,DUMMY5,S.02.01.02      ,C0010           ,GAR0040         ,K4, ,4110399.6
13,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0030           ,K4, ,0
14,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0040           ,K4, ,7599244.8
15,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0050           ,K4, ,0
16,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0060           ,K4, ,85933608
17,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0070           ,K4, ,426847486.8
18,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0080           ,K4, ,0
19,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0090           ,K4, ,4110399.6
20,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0100           ,K4, ,0
21,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0110           ,K4, ,0
22,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0120           ,K4, ,0
23,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0130           ,K4, ,387299694.6
24,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0140           ,K4, ,387299694.6
25,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0150           ,K4, ,0
26,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0160           ,K4, ,0
27,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0170           ,K4, ,0
28,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0180           ,K4, ,0
29,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0190           ,K4, ,0
30,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0200           ,K4, ,0
31,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0210           ,K4, ,35437392.6
32,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0220           ,K4, ,448245.6
33,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0230           ,K4, ,138115.2
34,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0240           ,K4, ,0
35,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0250           ,K4, ,0
36,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0260           ,K4, ,138115.2
37,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0270           ,K4, ,85761817.2
38,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0280           ,K4, ,85266910.2
39,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0290           ,K4, ,85114582.8
40,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0300           ,K4, ,152327.4
41,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0310           ,K4, ,494907
42,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0320           ,K4, ,0
43,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0330           ,K4, ,494907
44,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0340           ,K4, ,0
45,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0350           ,K4, ,0
46,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0360           ,K4, ,21204014.4
47,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0370           ,K4, ,4652441.4
48,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0380           ,K4, ,24495864.6
49,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0390           ,K4, ,0
50,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0400           ,K4, ,0
51,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0410           ,K4, ,75985117.2
52,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0420           ,K4, ,13826239.8
53,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0500           ,K4, ,746892195
54,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0510           ,K4, ,358328972.4
55,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0520           ,K4, ,356924038.8
56,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0530           ,K4, ,0
57,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0540           ,K4, ,342813495
58,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0550           ,K4, ,14110543.8
59,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0560           ,K4, ,1404933.6
60,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0570           ,K4, ,0
61,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0580           ,K4, ,1331923.2
62,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0590           ,K4, ,73010.4
63,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0600           ,K4, ,126199060.2
64,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0610           ,K4, ,0
65,2015016,DUMMY5,S.02.01.02      ,C0010           ,R0620           ,K4, ,0
